game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
19,early,LLL,[],17.2 K,0,0,0,4,Robo,1,0,3,90,4.5 K,Croc,3,0,1,65,4.5 K,tinowns,0,0,0,89,3.1 K,Route,0,0,0,74,3.0 K,Ceos,0,0,0,16,2.1 K,PNG,['chemtech'],14.9 K,0,0,0,0,Wizer,0,3,0,60,2.8 K,CarioK,0,1,0,61,2.9 K,dyNquedo,0,0,0,83,3.2 K,Bvoy,0,0,0,90,3.8 K,ProDelta,0,0,0,15,2.3 K
2,early,VKS,[],26.3 K,0,0,1,3,Guigo,0,1,0,141,5.6 K,Grell,1,2,2,86,5.1 K,Grevthar,2,1,1,141,6.0 K,Trigo,0,0,2,145,5.7 K,Damage,0,1,3,26,3.9 K,FX,"['cloud', 'hextech']",25.7 K,0,0,0,5,Tay,0,0,3,129,5.1 K,Disamis,0,1,4,93,4.7 K,hauz,1,1,2,126,5.1 K,Brance,2,0,3,156,6.8 K,JoJo,2,1,3,23,4.1 K
20,early,RED,[],23.9 K,0,0,1,12,fNb,1,0,0,90,4.0 K,Aegis,1,1,6,68,5.1 K,Envy,3,1,6,90,4.9 K,TitaN,5,1,5,88,6.0 K,frostyy,2,0,9,18,3.9 K,ITZ,"['ocean', 'chemtech']",19.6 K,0,0,0,3,Zzk,0,1,0,107,4.0 K,Yampi,0,3,3,87,4.0 K,NOsFerus,2,1,1,101,4.7 K,NinjaKiwi,1,1,2,100,4.4 K,Nia,0,6,3,25,2.7 K
21,early,ITZ,[],21.1 K,0,0,0,3,Zzk,1,1,0,108,4.7 K,Yampi,0,2,1,85,4.0 K,NOsFerus,0,1,1,105,4.0 K,NinjaKiwi,2,1,0,121,5.3 K,Nia,0,1,2,25,3.1 K,RED,"['infernal', 'cloud']",20.2 K,0,0,0,6,fNb,0,1,2,87,3.7 K,Aegis,0,1,6,65,3.8 K,Envy,3,0,2,108,5.0 K,TitaN,2,1,2,112,4.6 K,frostyy,1,0,4,21,3.0 K
22,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,ITZ,[],2.5 K,0,0,0,0,Zzk,0,0,0,0,500,Yampi,0,0,0,0,500,NOsFerus,0,0,0,0,500,NinjaKiwi,0,0,0,0,500,Nia,0,0,0,0,500
23,early,ITZ,[],25.0 K,0,0,0,3,Zzk,0,0,0,135,5.2 K,Yampi,1,1,2,82,5.0 K,NOsFerus,1,1,0,139,5.4 K,NinjaKiwi,1,1,2,154,6.1 K,Nia,0,2,2,25,3.5 K,RED,"['hextech', 'mountain']",26.7 K,0,0,1,5,fNb,0,0,0,141,5.1 K,Aegis,1,0,0,84,4.8 K,Envy,0,0,3,145,6.4 K,TitaN,4,1,0,151,6.8 K,frostyy,0,2,2,23,3.6 K
24,early,PNG,['infernal'],19.8 K,0,0,0,3,Wizer,1,0,0,98,4.2 K,CarioK,0,0,2,72,3.7 K,dyNquedo,0,0,0,107,3.8 K,Bvoy,2,0,0,115,5.2 K,ProDelta,0,1,2,20,3.0 K,RED,['cloud'],18.4 K,0,0,0,1,fNb,0,0,0,106,4.3 K,Aegis,0,0,1,65,3.4 K,Envy,0,1,0,100,4.2 K,TitaN,0,1,1,90,3.7 K,frostyy,1,1,0,20,2.9 K
25,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,PNG,[],2.5 K,0,0,0,0,Wizer,0,0,0,0,500,CarioK,0,0,0,0,500,dyNquedo,0,0,0,0,500,Bvoy,0,0,0,0,500,ProDelta,0,0,0,0,500
26,early,PNG,['ocean'],19.8 K,0,0,0,0,Wizer,0,1,0,106,3.9 K,CarioK,0,0,0,72,3.6 K,dyNquedo,0,0,0,128,4.6 K,Bvoy,0,0,0,122,5.0 K,ProDelta,0,0,0,19,2.7 K,RED,['cloud'],21.1 K,0,0,0,1,fNb,0,0,1,122,4.7 K,Aegis,0,0,0,74,4.0 K,Envy,1,0,0,111,4.8 K,TitaN,0,0,0,117,4.8 K,frostyy,0,0,0,22,2.9 K
27,early,RED,['hextech'],27.7 K,0,0,1,3,fNb,2,0,1,136,6.3 K,Aegis,0,2,2,110,5.4 K,Envy,0,0,0,153,6.3 K,TitaN,1,1,1,162,6.2 K,frostyy,0,2,2,26,3.5 K,PNG,['mountain'],27.8 K,0,0,1,5,Wizer,0,1,2,152,5.6 K,CarioK,3,1,2,92,5.6 K,dyNquedo,2,0,3,151,6.4 K,Bvoy,0,0,2,166,6.2 K,ProDelta,0,1,5,32,3.8 K
